CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 810, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 1564, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 2607, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 4134, Amount30354.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 6208, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 8836, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 11996, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 15634, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 19783, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 24670, Amount30354.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 31659, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 39504, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 45266, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 51677, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 58418, Amount20236.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Niklas Kulmala, AccountNumber: 2, TransactionId: 65909, Amount30354.00,  Country: Finland, DetectedAt: 5/12/2025 2:25:49 AM
