CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 57756, Amount15043.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 59312, Amount42260.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 64171, Amount49537.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 75008, Amount43883.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 75205, Amount15456.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 79996, Amount31173.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 80305, Amount12720.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 82518, Amount41079.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 82652, Amount17624.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 82975, Amount33581.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 85414, Amount340.40,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 85858, Amount29607.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 93712, Amount31459.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Arvid Saariaho, AccountNumber: 31, TransactionId: 94165, Amount7882.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 15451, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 19578, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 24411, Amount47768.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 31268, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 39210, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 44952, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 51341, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 58058, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 65488, Amount47768.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 73154, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 80628, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 88302, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Frederik Kristensen, AccountNumber: 34, TransactionId: 96223, Amount31845.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Alma Nyström, AccountNumber: 43, TransactionId: 66263, Amount35862.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Alma Nyström, AccountNumber: 43, TransactionId: 73887, Amount23908.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Alma Nyström, AccountNumber: 43, TransactionId: 81385, Amount23908.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Alma Nyström, AccountNumber: 43, TransactionId: 89089, Amount23908.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Alma Nyström, AccountNumber: 43, TransactionId: 97041, Amount23908.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Timothy Bergström, AccountNumber: 50, TransactionId: 58415, Amount16130.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Timothy Bergström, AccountNumber: 50, TransactionId: 65908, Amount24195.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
CustomerName: Timothy Bergström, AccountNumber: 50, TransactionId: 73543, Amount16130.00,  Country: Norway, DetectedAt: 5/12/2025 2:25:49 AM
